name,category,url,all_urls,domain,crawl_class,format,frequency,access,coverage,data_type,tags,notes
JODI Oil,Crude Oil & Refined Products,https://www.jodidata.org/oil/,https://www.jodidata.org/oil/,jodidata.org,deep,"CSV, XLS, web tables",monthly,free,"~90 countries, global oil balance",numeric,"[energy, oil, balances, global, fundamentals]","Only consolidated public dataset covering OPEC + non-OECD oil production, demand, stocks, trade. Underused due to clunky UI."
OPEC Monthly Oil Market Report (MOMR),Crude Oil & Refined Products,https://www.opec.org/opec_web/en/publications/202.htm,https://www.opec.org/opec_web/en/publications/202.htm,opec.org,deep,PDF,monthly,free,"Global, OPEC focus",mixed,"[energy, oil, narrative, balances, opec]","Authoritative OPEC view on demand/supply balance, full report free."
IEA Oil Market Report (OMR),Crude Oil & Refined Products,https://www.iea.org/reports/oil-market-report,https://www.iea.org/reports/oil-market-report,iea.org,deep,"PDF, summary HTML",monthly,"mixed (highlights free, full $)",Global,mixed,"[energy, oil, narrative, balances]",Companion to OPEC MOMR; often diverges in demand outlook.
EIA Today in Energy,Crude Oil & Refined Products,https://www.eia.gov/todayinenergy/,https://www.eia.gov/todayinenergy/,eia.gov,deep,HTML articles,daily,free,"Mostly US, some global",text,"[energy, narrative, daily, eia]",High-signal short analytical pieces; excellent NLP corpus for narrative/event extraction.
EIA Short-Term Energy Outlook (STEO),Crude Oil & Refined Products,https://www.eia.gov/outlooks/steo/,https://www.eia.gov/outlooks/steo/,eia.gov,deep,PDF + full XLSX data download,monthly,free,Global energy,mixed,"[energy, oil, gas, power, forecasts]","Includes full forecast tables for crude, products, gas, power, renewables."
EIA Drilling Productivity Report (DPR),Crude Oil & Refined Products,https://www.eia.gov/petroleum/drilling/,https://www.eia.gov/petroleum/drilling/,eia.gov,deep,"PDF, XLSX",monthly,free,US shale basins,numeric,"[energy, oil, shale, us, leading_indicator]","Basin-level rig productivity, DUC inventory; leading indicator for US production."
"EIA Refinery Capacity / Outages (EIA-820, EIA-810)",Crude Oil & Refined Products,https://www.eia.gov/petroleum/refinery/,https://www.eia.gov/petroleum/refinery/,eia.gov,deep,XLSX,semi-annual + ad hoc,free,US refineries,numeric,"[energy, refining, us]","Capacity by unit type (CDU, FCC, hydrocracker, reformer); key for crack spread modeling."
North Dakota Department of Mineral Resources (DMR),Crude Oil & Refined Products,https://www.dmr.nd.gov/oilgas/,https://www.dmr.nd.gov/oilgas/,dmr.nd.gov,deep,"PDF Director's Cut, XLSX",monthly,free,Bakken basin,mixed,"[energy, oil, shale, bakken, us]","Director's Cut narrative + granular production, GOR, flaring, well counts. Lag ~60 days."
Texas Railroad Commission (RRC),Crude Oil & Refined Products,https://www.rrc.texas.gov/oil-and-gas/research-and-statistics/,https://www.rrc.texas.gov/oil-and-gas/research-and-statistics/,rrc.texas.gov,deep,"HTML, downloadable reports",monthly,free,"Texas (Permian, Eagle Ford)",numeric,"[energy, oil, shale, permian, us]",District-level production; reporting lags can be substantial.
Alberta Energy Regulator (AER) ST3 / ST53,Crude Oil & Refined Products,https://www.aer.ca/providing-information/data-and-reports/statistical-reports,https://www.aer.ca/providing-information/data-and-reports/statistical-reports,aer.ca,deep,"PDF, CSV",monthly,free,Alberta oilsands + conventional,numeric,"[energy, oil, oilsands, canada]","Bitumen production, SAGD vs mining split, well-level."
Mexico CNH SIH,Crude Oil & Refined Products,https://sih.hidrocarburos.gob.mx/,https://sih.hidrocarburos.gob.mx/,sih.hidrocarburos.gob.mx,deep,"Web tables, downloads",monthly,free,"Mexico, field-level",numeric,"[energy, oil, mexico]",Pemex + private operators broken out.
Brazil ANP,Crude Oil & Refined Products,https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-estatisticos,https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-estatisticos,gov.br,deep,"XLSX, PDF",monthly,free,Brazil offshore + onshore,numeric,"[energy, oil, brazil, offshore]",Pre-salt field production detail.
Norway Sokkeldirektoratet (NPD) FactPages,Crude Oil & Refined Products,https://factpages.sodir.no/,https://factpages.sodir.no/,factpages.sodir.no,deep,"API, web",monthly,free,Norwegian Continental Shelf,numeric,"[energy, oil, gas, norway, offshore]","Field-level production, reserves, licenses. Best-in-class transparency."
UK NSTA,Crude Oil & Refined Products,https://www.nstauthority.co.uk/data-centre/,https://www.nstauthority.co.uk/data-centre/,nstauthority.co.uk,api_numeric,"API, CSV",monthly,free,UK Continental Shelf,numeric,"[energy, oil, gas, uk, offshore]","Production by field, well, license."
India PPAC,Crude Oil & Refined Products,https://www.ppac.gov.in/,https://www.ppac.gov.in/,ppac.gov.in,deep,"PDF, XLSX",monthly,free,India,numeric,"[energy, oil, products, india, demand]",Oil and product consumption monthly; timely India demand signal.
Baker Hughes Rig Count,Crude Oil & Refined Products,https://rigcount.bakerhughes.com/,https://rigcount.bakerhughes.com/,rigcount.bakerhughes.com,deep,"XLSX, HTML",weekly (US) + monthly (international),free (registration optional),Global,numeric,"[energy, oil, gas, activity, leading_indicator]",US Friday release; international monthly. Classic activity leading indicator.
NOAA / EOG VIIRS Nightfire,Crude Oil & Refined Products,https://eogdata.mines.edu/products/vnf/,https://eogdata.mines.edu/products/vnf/,eogdata.mines.edu,skip_binary,"CSV, GeoTIFF",daily,free (registration),Global,imagery,"[energy, oil, gas, satellite, flaring, activity]","Satellite-detected gas flaring; proxy for associated-gas production. Use for Permian, Bakken, Iraq, Russia, Venezuela."
PHMSA Pipeline Data,Crude Oil & Refined Products,https://www.phmsa.dot.gov/data-and-statistics,https://www.phmsa.dot.gov/data-and-statistics,phmsa.dot.gov,deep,CSV,monthly + incident alerts,free,US pipelines,mixed,"[energy, oil, gas, pipelines, us, infrastructure]","Pipeline incidents, throughput annual reports; useful for disruption analysis."
GIE AGSI+ (Gas Storage Europe),"Natural Gas, LNG, Power",https://agsi.gie.eu/,https://agsi.gie.eu/,agsi.gie.eu,api_numeric,"REST API, CSV",daily,free (API key),EU + UK + Ukraine,numeric,"[energy, gas, storage, europe, fundamentals]","Facility-level gas storage levels, injection/withdrawal. Core EU gas dataset."
GIE ALSI (LNG Storage Europe),"Natural Gas, LNG, Power",https://alsi.gie.eu/,https://alsi.gie.eu/,alsi.gie.eu,api_numeric,"REST API, CSV",daily,free (API key),EU LNG terminals,numeric,"[energy, gas, lng, storage, europe]","Terminal-level send-out, inventory, regasification."
ENTSOG Transparency Platform,"Natural Gas, LNG, Power",https://transparency.entsog.eu/,https://transparency.entsog.eu/,transparency.entsog.eu,api_numeric,"REST API (XML/JSON), CSV",daily,free,EU gas pipeline network,numeric,"[energy, gas, flows, europe, infrastructure]","Physical flows by interconnection point, nominations, capacity bookings."
ENTSOG Gas Dashboard,"Natural Gas, LNG, Power",https://gasdashboard.entsog.eu/,https://gasdashboard.entsog.eu/,gasdashboard.entsog.eu,deep,"HTML, CSV",daily,free,EU aggregated,numeric,"[energy, gas, flows, europe]","Aggregated supply by corridor (Norway, Russia, North Africa, LNG)."
ENTSO-E Transparency Platform,"Natural Gas, LNG, Power",https://transparency.entsoe.eu/,https://transparency.entsoe.eu/,transparency.entsoe.eu,api_numeric,"REST API, CSV",real-time / hourly,free (API key),EU power grid,numeric,"[energy, power, electricity, europe, fundamentals]","Generation by fuel, load, cross-border flows, day-ahead prices, outages."
EMBER Electricity Data,"Natural Gas, LNG, Power",https://ember-energy.org/data/,https://ember-energy.org/data/,ember-energy.org,deep,CSV,monthly + annual,free,Global,numeric,"[energy, power, electricity, global, transition]",Cleaned and harmonized power generation mix by country. Underused for global power analysis.
Electricity Maps,"Natural Gas, LNG, Power",https://app.electricitymaps.com/,https://app.electricitymaps.com/,app.electricitymaps.com,deep,"HTML, API (paid for historical)",real-time,mixed,Global grids,numeric,"[energy, power, electricity, real_time]",Real-time grid carbon intensity and fuel mix.
EIA-860 / EIA-923,"Natural Gas, LNG, Power",https://www.eia.gov/electricity/data/eia923/,https://www.eia.gov/electricity/data/eia923/,eia.gov,deep,XLSX,monthly + annual,free,US generators,numeric,"[energy, power, us, plants]",Plant-level generation and fuel consumption. Foundational for US power modeling.
EIA Weekly Natural Gas Storage,"Natural Gas, LNG, Power",https://ir.eia.gov/ngs/ngs.html,https://ir.eia.gov/ngs/ngs.html,ir.eia.gov,deep,"CSV, HTML",weekly (Thu),free,US,numeric,"[energy, gas, storage, us]",Watched closely; results vs survey drive front-month gas.
CAISO OASIS / ERCOT / PJM / MISO / NYISO / ISO-NE,"Natural Gas, LNG, Power",http://oasis.caiso.com/,http://oasis.caiso.com/ ; https://www.ercot.com/gridinfo ; https://dataminer2.pjm.com/,oasis.caiso.com,api_numeric,"API, CSV",real-time / hourly,free,US ISOs,numeric,"[energy, power, us, electricity]","LMP, load, generation by fuel, ancillary services."
AEMO NEMWEB,"Natural Gas, LNG, Power",https://nemweb.com.au/,https://nemweb.com.au/,nemweb.com.au,deep,CSV,5-min / real-time,free,Australia NEM,numeric,"[energy, power, gas, australia]",Granular Australian power and gas market data.
METI Japan Statistics,"Natural Gas, LNG, Power",https://www.meti.go.jp/english/statistics/,https://www.meti.go.jp/english/statistics/,meti.go.jp,deep,XLSX,monthly,free,Japan,numeric,"[energy, lng, coal, oil, japan, imports]","LNG, coal, oil import volumes and prices."
KESIS Korea Energy Statistics,"Natural Gas, LNG, Power",http://www.kesis.net/,http://www.kesis.net/,kesis.net,deep,"HTML, XLSX",monthly,free (Korean primarily),South Korea,numeric,"[energy, korea, imports]",Korean energy demand and imports.
EIA Coal Data,Coal,https://www.eia.gov/coal/data.php,https://www.eia.gov/coal/data.php,eia.gov,deep,XLSX,monthly + quarterly,free,US,numeric,"[energy, coal, us]","Mine-level production, stocks, prices, exports by destination."
China NBS Energy / Coal Output,Coal,https://www.stats.gov.cn/english/,https://www.stats.gov.cn/english/,stats.gov.cn,deep,"HTML, XLSX",monthly,free,China,numeric,"[energy, coal, china]",Top-line raw coal output; sparse but official.
India Coal Controller (CCO),Coal,https://www.coalcontroller.gov.in/,https://www.coalcontroller.gov.in/,coalcontroller.gov.in,deep,"PDF, XLSX",monthly + annual,free,India,numeric,"[energy, coal, india]",Provisional Coal Statistics and dispatch detail.
globalCOAL,Coal,https://www.globalcoal.com/,https://www.globalcoal.com/,globalcoal.com,deep,HTML,weekly indices,mixed,Seaborne thermal coal,numeric,"[energy, coal, prices, benchmarks]",NEWC reference benchmark; some headline data free.
USDA FAS GAIN Attaché Reports,Grains & Oilseeds,https://gain.fas.usda.gov/#/search,https://gain.fas.usda.gov/#/search,gain.fas.usda.gov,deep,PDF,"~2000 reports/year, country-specific schedule",free,~180 countries,text,"[agriculture, narrative, gain, global, text_corpus]","On-the-ground attaché reports — crop conditions, policy, balance estimates. Top NLP corpus for ag fundamentals. Production/Supply/Distribution data in GAIN is attaché estimate, not official USDA."
USDA FAS PSD Online,Grains & Oilseeds,https://apps.fas.usda.gov/psdonline/,https://apps.fas.usda.gov/psdonline/,apps.fas.usda.gov,api_numeric,"CSV, XLSX, API",monthly (post-WASDE),free,"Global, all major commodities",numeric,"[agriculture, balances, global, official]",Official global supply/demand balance database. The bedrock.
USDA FAS GATS,Grains & Oilseeds,https://apps.fas.usda.gov/gats/,https://apps.fas.usda.gov/gats/,apps.fas.usda.gov,deep,"HTML, CSV",monthly,free,US ag trade by commodity / destination,numeric,"[agriculture, trade, us]",Granular US export/import statistics.
USDA NASS Quick Stats,Grains & Oilseeds,https://quickstats.nass.usda.gov/,https://quickstats.nass.usda.gov/,quickstats.nass.usda.gov,api_numeric,"API, CSV","varies (annual, monthly, weekly)",free,US state/county,numeric,"[agriculture, us, granular]","Most granular US ag production database. Crop progress, cattle/hogs inventories, prices received."
USDA FAS Crop Explorer,Grains & Oilseeds,https://ipad.fas.usda.gov/cropexplorer/,https://ipad.fas.usda.gov/cropexplorer/,ipad.fas.usda.gov,deep,"HTML maps, time-series download",weekly / dekadal,free,Global,imagery + numeric,"[agriculture, satellite, remote_sensing, conditions, global]","NDVI, soil moisture, precipitation, temperature anomalies by crop region."
GEOGLAM Crop Monitor,Grains & Oilseeds,https://cropmonitor.org/,https://cropmonitor.org/,cropmonitor.org,deep,"PDF, HTML",monthly,free,Global,mixed,"[agriculture, conditions, global, narrative]","Multi-agency synthesis of global crop conditions (USDA, FAO, JRC, etc.)."
EU MARS Bulletin,Grains & Oilseeds,https://agri4cast.jrc.ec.europa.eu/dataportal/,https://agri4cast.jrc.ec.europa.eu/dataportal/,agri4cast.jrc.ec.europa.eu,deep,"PDF, GeoTIFF, time series",biweekly during growing season,free,"EU, Black Sea, North Africa, Middle East",mixed,"[agriculture, conditions, europe, blacksea, forecasts]","JRC crop monitoring — yield forecasts, agro-meteorological indicators."
AMIS Market Monitor,Grains & Oilseeds,https://www.amis-outlook.org/amis-monitoring/,https://www.amis-outlook.org/amis-monitoring/,amis-outlook.org,deep,PDF,monthly,free,G20 + major exporters,mixed,"[agriculture, balances, narrative, global]","Wheat, maize, rice, soybeans S&D + policy. G20 effort."
FAO GIEWS Country Briefs / FPMA,Grains & Oilseeds,https://www.fao.org/giews/,https://www.fao.org/giews/,fao.org,deep,"HTML, PDF",monthly,free,Global,text,"[agriculture, narrative, emerging_markets, food_security]",Country-level food security narratives; useful for emerging-market demand context.
FAO Food Outlook + Food Price Index,Grains & Oilseeds,https://www.fao.org/worldfoodsituation/foodpricesindex,https://www.fao.org/worldfoodsituation/foodpricesindex,fao.org,deep,"PDF, XLSX","monthly (FFPI), semi-annual (Food Outlook)",free,Global,mixed,"[agriculture, prices, narrative, global]","FFPI subindices (cereals, dairy, meat, oils, sugar) widely cited."
IGC Grain Market Report (GMR),Grains & Oilseeds,https://www.igc.int/en/gmr_summary.aspx,https://www.igc.int/en/gmr_summary.aspx,igc.int,deep,PDF (summary free),monthly,mixed,Global grains + oilseeds,mixed,"[agriculture, balances, grains, global]","International Grains Council balances; free summary, full report paid."
Brazil CONAB,Grains & Oilseeds,https://www.conab.gov.br/info-agro/safras,https://www.conab.gov.br/info-agro/safras,conab.gov.br,deep,"PDF, XLSX",monthly,free,Brazil,numeric,"[agriculture, brazil, grains, oilseeds, leading_indicator]",Monthly Brazilian crop survey (Levantamento); leads USDA on Brazil balances.
Bolsa de Cereales (Buenos Aires Grain Exchange),Grains & Oilseeds,https://www.bolsadecereales.com/,https://www.bolsadecereales.com/,bolsadecereales.com,deep,"PDF, HTML",weekly,free (Spanish),Argentina,mixed,"[agriculture, argentina, grains, oilseeds]",Weekly Estimaciones Agrícolas; key Argentine crop progress.
BCR Rosario,Grains & Oilseeds,https://www.bcr.com.ar/es/mercados/investigacion-y-desarrollo,https://www.bcr.com.ar/es/mercados/investigacion-y-desarrollo,bcr.com.ar,deep,"PDF, HTML",weekly,free (Spanish),Argentina,mixed,"[agriculture, argentina, grains, oilseeds]",Complement to Bolsa de Cereales; often cited.
APK-Inform / UkrAgroConsult,Grains & Oilseeds,https://www.apk-inform.com/,https://www.apk-inform.com/,apk-inform.com,deep,"HTML, paid PDFs",daily / weekly,mixed,"Black Sea (Ukraine, Russia, Kazakhstan)",mixed,"[agriculture, blacksea, ukraine, russia, grains]","Key for Black Sea wheat, sunflower, corn flow analysis."
ABARES Australia,Grains & Oilseeds,https://www.agriculture.gov.au/abares,https://www.agriculture.gov.au/abares,agriculture.gov.au,deep,"PDF, XLSX",quarterly + ad hoc,free,Australia,mixed,"[agriculture, australia, grains]","Australian Crop Report, Commodity outlook."
AAFC Canada,Grains & Oilseeds,https://agriculture.canada.ca/en/sector/crops,https://agriculture.canada.ca/en/sector/crops,agriculture.canada.ca,deep,"PDF, XLSX",monthly,free,Canada,mixed,"[agriculture, canada, grains]",Outlook for Principal Field Crops.
GASC Egypt Wheat Tenders,Grains & Oilseeds,https://www.gasc.gov.eg/,https://www.gasc.gov.eg/,gasc.gov.eg,deep,Press announcements,irregular tenders,free,Egypt (global wheat demand signal),text,"[agriculture, wheat, demand, tenders, egypt]",Tender results = price-discovery event for global wheat. Track via trade press.
MPOB Malaysian Palm Oil Board,Grains & Oilseeds,https://bepi.mpob.gov.my/,https://bepi.mpob.gov.my/,bepi.mpob.gov.my,deep,"HTML, XLSX",monthly (10th of month),free,Malaysia palm oil,numeric,"[agriculture, palmoil, malaysia, stocks]","End-of-month stocks, production, exports. Market-moving."
GAPKI Indonesia Palm Oil,Grains & Oilseeds,https://gapki.id/,https://gapki.id/,gapki.id,deep,"HTML, PDF",monthly,free,Indonesia palm oil,numeric,"[agriculture, palmoil, indonesia]",World's largest producer; data less timely than MPOB.
ICCO (International Cocoa Organization),Softs,https://www.icco.org/,https://www.icco.org/,icco.org,deep,PDF,monthly + quarterly bulletin,mixed,Global cocoa,mixed,"[agriculture, softs, cocoa, global]","Production, grindings, S&D balance."
ICO (International Coffee Organization),Softs,https://www.ico.org/,https://www.ico.org/,ico.org,deep,"PDF, XLSX",monthly,free,Global coffee,mixed,"[agriculture, softs, coffee, global]","Indicator prices, exports, consumption."
CeCafé Brazil,Softs,https://www.cecafe.com.br/en/,https://www.cecafe.com.br/en/,cecafe.com.br,deep,"PDF, HTML",monthly,free,Brazil coffee exports,numeric,"[agriculture, softs, coffee, brazil, exports]",Brazilian coffee export volumes by quality/destination.
UNICA UnicaData,Softs,https://unicadata.com.br/,https://unicadata.com.br/,unicadata.com.br,deep,"HTML, XLSX",fortnightly during crush,free,Brazil Center-South sugar/ethanol,numeric,"[agriculture, softs, sugar, ethanol, brazil, crush]","Crush volume, sugar mix, ATR; market-moving for sugar."
ISO International Sugar Organization,Softs,https://www.isosugar.org/,https://www.isosugar.org/,isosugar.org,deep,PDF,quarterly,mixed (members $),Global sugar,mixed,"[agriculture, softs, sugar, global]",Global sugar balance estimates.
USDA AMS Cotton Market News,Softs,https://www.ams.usda.gov/market-news/cotton,https://www.ams.usda.gov/market-news/cotton,ams.usda.gov,deep,"PDF, XLSX",daily / weekly,free,US cotton,mixed,"[agriculture, softs, cotton, us]","Spot, classing, mill use."
ICAC International Cotton Advisory Committee,Softs,https://www.icac.org/,https://www.icac.org/,icac.org,deep,PDF,monthly,mixed,Global cotton,mixed,"[agriculture, softs, cotton, global]",Cotton This Month; global S&D.
USDA AMS Market News (Livestock + Dairy),"Livestock, Meat, Dairy",https://www.ams.usda.gov/market-news,https://www.ams.usda.gov/market-news,ams.usda.gov,deep,"PDF, XLSX, API",daily,free,US,numeric,"[agriculture, livestock, meat, dairy, us]","Mandatory Price Reporting — boxed beef, cutout values, hog slaughter."
USDA NASS Cattle / Hogs & Pigs / Cold Storage / Milk Production,"Livestock, Meat, Dairy",https://www.nass.usda.gov/Publications/,https://www.nass.usda.gov/Publications/,nass.usda.gov,deep,"PDF, XLSX",monthly / quarterly / semi-annual,free,US,numeric,"[agriculture, livestock, meat, dairy, us, inventories]","Key inventory reports — biannual Cattle, quarterly Hogs & Pigs, monthly Milk and Cold Storage."
EU Milk Market Observatory,"Livestock, Meat, Dairy",https://agriculture.ec.europa.eu/data-and-analysis/markets/overviews/market-observatories/milk_en,https://agriculture.ec.europa.eu/data-and-analysis/markets/overviews/market-observatories/milk_en,agriculture.ec.europa.eu,deep,XLSX,monthly,free,EU,numeric,"[agriculture, dairy, europe]","EU milk deliveries, butter/SMP/cheese prices, production."
Global Dairy Trade (GDT),"Livestock, Meat, Dairy",https://www.globaldairytrade.info/,https://www.globaldairytrade.info/,globaldairytrade.info,deep,"HTML, XLSX",bi-weekly auctions,free,Global dairy,numeric,"[agriculture, dairy, prices, global]","Auction price/volume results; key for WMP, SMP, butter."
Meat & Livestock Australia (MLA),"Livestock, Meat, Dairy",https://www.mla.com.au/prices-markets/,https://www.mla.com.au/prices-markets/,mla.com.au,deep,"HTML, PDF",weekly,free,Australia,mixed,"[agriculture, livestock, australia]","Eastern Young Cattle Indicator, slaughter, exports."
Brazil Comex Stat,"Livestock, Meat, Dairy",https://comexstat.mdic.gov.br/,https://comexstat.mdic.gov.br/,comexstat.mdic.gov.br,deep,"HTML, CSV",monthly,free,Brazil trade,numeric,"[agriculture, brazil, trade, exports]","Beef, soy, sugar, coffee export detail."
